ensembl_gene_id_from	ensembl_gene_id_to
ENSG00000111087	ENSG00000131437
ENSG00000204516	ENSG00000204520
ENSG00000065675	ENSG00000198502
ENSG00000065675	ENSG00000237541
ENSG00000065675	ENSG00000232629
ENSG00000065675	ENSG00000198821
ENSG00000065675	ENSG00000196126
ENSG00000065675	ENSG00000196735
ENSG00000065675	ENSG00000179344
ENSG00000115607	ENSG00000115604
ENSG00000108349	ENSG00000198563
ENSG00000108349	ENSG00000197728
ENSG00000087088	ENSG00000196419
ENSG00000161395	ENSG00000131748
ENSG00000167914	ENSG00000172057
ENSG00000188389	ENSG00000237541
ENSG00000188389	ENSG00000232629
ENSG00000188389	ENSG00000196126
ENSG00000188389	ENSG00000198502
ENSG00000188389	ENSG00000196735
ENSG00000188389	ENSG00000179344
ENSG00000196735	ENSG00000241106
ENSG00000196735	ENSG00000198502
ENSG00000196735	ENSG00000237541
ENSG00000196735	ENSG00000232629
ENSG00000196735	ENSG00000196126
ENSG00000196735	ENSG00000234745
ENSG00000196735	ENSG00000131437
ENSG00000196735	ENSG00000179344
ENSG00000172977	ENSG00000188895
ENSG00000172977	ENSG00000196419
ENSG00000125245	ENSG00000163485
ENSG00000161405	ENSG00000172057
ENSG00000161405	ENSG00000073605
ENSG00000196126	ENSG00000241106
ENSG00000196126	ENSG00000198502
ENSG00000196126	ENSG00000237541
ENSG00000196126	ENSG00000232629
ENSG00000196126	ENSG00000198821
ENSG00000196126	ENSG00000234745
ENSG00000196126	ENSG00000131437
ENSG00000196126	ENSG00000179344
ENSG00000237541	ENSG00000232629
ENSG00000237541	ENSG00000241106
ENSG00000237541	ENSG00000198502
ENSG00000237541	ENSG00000234745
ENSG00000237541	ENSG00000131437
ENSG00000237541	ENSG00000179344
ENSG00000179344	ENSG00000241106
ENSG00000179344	ENSG00000198502
ENSG00000179344	ENSG00000232629
ENSG00000179344	ENSG00000234745
ENSG00000179344	ENSG00000131437
ENSG00000198502	ENSG00000241106
ENSG00000198502	ENSG00000232629
ENSG00000198502	ENSG00000234745
ENSG00000198502	ENSG00000131437
ENSG00000172057	ENSG00000073605
ENSG00000131437	ENSG00000241106
ENSG00000131437	ENSG00000232629
ENSG00000241106	ENSG00000232629
ENSG00000241106	ENSG00000234745
ENSG00000232629	ENSG00000234745
