trait	level	pvalue	adj_pval	n_eqtls	n_eqtls_in_catalog
Post bronchodilator FEV1/FVC ratio	+1	4.67670326005721e-80	5.57463028598819e-77	190	232
Post bronchodilator FEV1	+1	2.04020471288389e-73	1.2159620088788e-70	218	301
Post bronchodilator FEV1/FVC ratio in COPD	+1	1.64372843000416e-18	6.53108096188319e-16	62	94
Alzheimer's disease or family history of Alzheimer's disease	+1	0.000000000674597713012069	0.000000201030118477597	56	112
Post bronchodilator FEV1 in COPD	+1	0.00000000138021420651095	0.00000032904306683221	14	14
Pre bronchodilator FEV1	+1	0.0000000254856254764316	0.00000506314426131774	12	12
Blood protein levels	+1	0.0000039642886793491	0.000675061729397732	197	635
Pre bronchodilator FEV1/FVC ratio	+1	0.00000867692225980625	0.00129286141671113	8	8
Family history of Alzheimer's disease	+1	0.00017101432891378	0.0226498977850251	18	34
Disc degeneration (lumbar)	+1	0.000323647319524529	0.0385787604873239	11	17
Sarcoidosis (Lofgren's syndrome vs non-Lofgren's syndrome)	+1	0.000469848686231084	0.0450993406499599	12	20
Systemic lupus erythematosus	+1	0.000475069360641108	0.0450993406499599	40	105
Lung cancer	+1	0.000491855225209294	0.0450993406499599	24	54
Post bronchodilator FEV1/FVC ratio in COPD	+2	0.000000000215779888749582	0.000000395092976300485	78	94
Glycated hemoglobin levels	+3	0.000010932507263016	0.0131846037591973	17	28
Hip circumference	+3	0.0000565238060466222	0.0326890201518266	20	39
Red blood cell count	+3	0.0000966278504190531	0.0326890201518266	38	97
Plasma free amino acid levels	+3	0.000108421294035909	0.0326890201518266	10	14
Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)	+3	0.000160372342444701	0.0386818089976619	7	8
Circulating chemerin levels	+4	0.0000882676143010553	0.0209539043532432	3	4
Mean arterial pressure x alcohol consumption interaction (2df test)	+4	0.000194569073902095	0.0209539043532432	5	20
Mean arterial pressure	+4	0.000244954817579941	0.0209539043532432	8	59
Leprosy	+4	0.000249451242300514	0.0209539043532432	5	21
