gene	ensembl_gene_id	gencode_id	whole_blood_median_tpm
DPM1	ENSG00000000419	ENSG00000000419.12	12.4834
SCYL3	ENSG00000000457	ENSG00000000457.13	3.06268
C1orf112	ENSG00000000460	ENSG00000000460.16	0.657812
CFH	ENSG00000000971	ENSG00000000971.15	0.482145
FUCA2	ENSG00000001036	ENSG00000001036.13	9.27116
GCLC	ENSG00000001084	ENSG00000001084.10	2.76292
NFYA	ENSG00000001167	ENSG00000001167.14	12.4129
STPG1	ENSG00000001460	ENSG00000001460.17	0.268189
NIPAL3	ENSG00000001461	ENSG00000001461.16	2.09074
ENPP4	ENSG00000001561	ENSG00000001561.6	1.46125
ANKIB1	ENSG00000001629	ENSG00000001629.9	2.32905
CYP51A1	ENSG00000001630	ENSG00000001630.15	0.851405
KRIT1	ENSG00000001631	ENSG00000001631.15	1.76398
RAD52	ENSG00000002016	ENSG00000002016.17	1.60273
LAP3	ENSG00000002549	ENSG00000002549.12	16.0837
CD99	ENSG00000002586	ENSG00000002586.18	65.8164
CD99	ENSG00000002586	ENSG00000002586.18_PAR_Y	0
HS3ST1	ENSG00000002587	ENSG00000002587.9	0.0988721
AOC1	ENSG00000002726	ENSG00000002726.20	0.412827
WNT16	ENSG00000002745	ENSG00000002745.12	0.111908
MAD1L1	ENSG00000002822	ENSG00000002822.15	5.64188
LASP1	ENSG00000002834	ENSG00000002834.17	88.7377
SNX11	ENSG00000002919	ENSG00000002919.14	23.1797
TMEM176A	ENSG00000002933	ENSG00000002933.7	15.1798
M6PR	ENSG00000003056	ENSG00000003056.7	34.6982
CYP26B1	ENSG00000003137	ENSG00000003137.8	0.0371999
ICA1	ENSG00000003147	ENSG00000003147.17	1.47245
DBNDD1	ENSG00000003249	ENSG00000003249.13	0.368724
ALS2	ENSG00000003393	ENSG00000003393.14	0.991404
CFLAR	ENSG00000003402	ENSG00000003402.19	42.8804
TFPI	ENSG00000003436	ENSG00000003436.15	0.443886
MTMR7	ENSG00000003987	ENSG00000003987.13	0.265296
SLC7A2	ENSG00000003989	ENSG00000003989.17	0.0571688
SARM1	ENSG00000004139	ENSG00000004139.13	0.969026
POLDIP2	ENSG00000004142	ENSG00000004142.11	33.1158
PLXND1	ENSG00000004399	ENSG00000004399.12	12.9664
AK2	ENSG00000004455	ENSG00000004455.16	18.5503
CD38	ENSG00000004468	ENSG00000004468.12	3.19892
KDM1A	ENSG00000004487	ENSG00000004487.15	9.35315
RBM6	ENSG00000004534	ENSG00000004534.14	27.2019
CAMKK1	ENSG00000004660	ENSG00000004660.14	13.3576
RECQL	ENSG00000004700	ENSG00000004700.15	6.05316
VPS50	ENSG00000004766	ENSG00000004766.15	1.33309
ARHGAP33	ENSG00000004777	ENSG00000004777.18	3.35532
NDUFAB1	ENSG00000004779	ENSG00000004779.9	9.29395
PDK4	ENSG00000004799	ENSG00000004799.7	4.67501
SLC22A16	ENSG00000004809	ENSG00000004809.13	1.04277
SLC25A13	ENSG00000004864	ENSG00000004864.13	2.63562
ST7	ENSG00000004866	ENSG00000004866.20	1.5819
CDC27	ENSG00000004897	ENSG00000004897.11	4.98752
SLC4A1	ENSG00000004939	ENSG00000004939.13	78.88
DVL2	ENSG00000004975	ENSG00000004975.11	7.03211
PRSS22	ENSG00000005001	ENSG00000005001.9	0.118188
SKAP2	ENSG00000005020	ENSG00000005020.12	34.1132
SLC25A5	ENSG00000005022	ENSG00000005022.5	112.595
MCUB	ENSG00000005059	ENSG00000005059.15	10.7358
POLR2J	ENSG00000005075	ENSG00000005075.15	35.8155
