gene	oe_lof_upper	interaction
A1BG	1.208	cis
A2M	0.544	cis_intra
A2ML1	0.952	inter_intra
A3GALT2	1.764	cis
A4GALT	1.654	cis
AAAS	0.988	cis_intra
AACS	1.088	cis_inter_intra
AADAC	0.944	trans-intra
AAGAB	1.037	cis
AAK1	0.129	inter_intra
AANAT	1.227	cis
AAR2	1.348	cis
AARS	0.617	inter_intra
AARS2	0.835	cis
AASDH	0.828	cis
AASDHPPT	0.717	trans-intra
AASS	0.809	cis_intra
AATF	1.065	cis_inter_intra
AATK	0.403	cis_inter_intra
ABAT	0.567	cis_intra
ABCA1	0.486	cis_inter_intra
ABCA10	0.968	cis_inter_intra
ABCA13	1.035	cis_inter_intra
ABCA2	0.169	cis
ABCA3	0.501	cis_inter
ABCA5	0.838	cis_inter_intra
ABCA6	0.864	trans-intra
ABCA7	1.067	cis
ABCA8	1.186	inter_intra
ABCA9	1.07	cis_intra
ABCB1	0.473	inter_intra
ABCB4	0.508	inter_intra
ABCB7	0.109	trans-intra
ABCB8	1.081	cis
ABCB9	0.653	cis_inter
ABCC1	0.397	cis_inter_intra
ABCC10	0.941	cis
ABCC11	1.236	cis_intra
ABCC2	1.158	cis_intra
ABCC3	0.896	cis_intra
ABCC4	0.492	inter_intra
ABCC5	0.387	cis_inter_intra
ABCC6	1.026	cis
ABCD1	0.15	cis
ABCD2	0.718	cis
ABCD3	0.435	cis_intra
ABCD4	0.898	cis_inter_intra
ABCF2	0.478	cis
ABCF3	0.573	cis
ABCG1	0.461	cis
ABCG2	1.549	cis_intra
ABHD10	1.061	cis
ABHD11	0.941	cis
ABHD12	0.763	cis_inter_intra
ABHD12B	1.582	cis
ABHD13	0.406	cis
ABHD14A	1.395	cis_intra
ABHD14B	1.695	trans-intra
ABHD15	1.489	cis
ABHD16A	0.384	cis_intra
ABHD17C	0.302	cis_inter_intra
ABHD2	0.431	cis_intra
ABHD3	1.181	cis
ABHD4	1.073	cis
ABHD5	0.982	trans-intra
ABHD6	0.984	trans-intra
ABHD8	0.31	cis
ABI1	0.418	cis_inter_intra
ABI2	0.46	cis_intra
ABI3BP	0.558	cis_inter_intra
ABL1	0.176	cis_inter_intra
ABL2	0.58	cis_inter
ABLIM1	0.326	cis_inter_intra
ABLIM2	0.465	inter_intra
ABLIM3	0.59	trans-intra
ABR	0.361	cis_inter_intra
ABRACL	1.371	cis
ABT1	1.015	cis_intra
ABTB1	0.756	cis
ABTB2	0.464	cis_inter_intra
AC004381.6	0.856	cis
AC009403.2	1.888	cis
AC016757.3	1.945	cis
AC018816.3	1.851	cis_intra
AC062017.1	1.934	cis
AC090616.2	1.86	cis
AC129492.6	NA	cis
ACAA1	1.118	cis
ACAA2	1.306	cis_intra
ACACA	0.216	cis_inter_intra
ACACB	0.857	cis_inter_intra
ACAD10	1.085	trans-intra
ACAD11	0.883	cis_intra
ACAD8	1.27	cis
ACAD9	0.814	cis
ACADM	1.153	cis_intra
ACADS	0.95	cis
ACADSB	1.172	cis_inter
ACADVL	1.05	cis
ACAP1	0.423	cis
ACAP2	0.324	cis_inter
ACAT1	1.051	cis
ACBD3	0.539	cis_intra
ACBD4	0.926	cis
ACBD5	0.529	cis
ACBD6	1.129	cis_intra
ACBD7	1.19	cis
ACCS	0.839	cis_intra
ACD	1.187	cis
ACER1	1.002	cis_inter
ACER2	0.695	trans-inter
ACER3	0.388	cis_inter_intra
ACIN1	0.201	cis_inter
ACKR2	1.47	trans-intra
ACKR4	1.803	trans-intra
ACLY	0.377	cis
ACO1	0.932	cis_inter
ACO2	0.417	inter_intra
ACOT1	1.528	cis
ACOT11	1.082	cis_intra
ACOT13	1.936	cis_intra
ACOT2	1.327	cis
ACOT4	1.655	cis
ACOT7	0.434	cis_inter
ACOT9	1.18	cis
ACOX1	0.462	cis
ACOX2	0.87	cis
ACOX3	1.063	cis_intra
ACOXL	1.097	inter_intra
ACP1	1.802	cis
ACP2	0.753	cis
ACP5	0.724	cis
ACP6	1.387	cis
ACPP	1.403	cis_intra
ACSF2	0.654	cis_intra
ACSF3	1.772	cis_inter_intra
ACSL1	0.476	cis_inter_intra
ACSL3	0.55	cis
ACSL4	0.306	cis_intra
ACSL5	0.727	cis_intra
ACSL6	0.475	cis_intra
ACSM1	1.074	cis_inter_intra
ACSM3	1.055	cis_inter_intra
ACSM5	1.258	cis
ACSS1	0.759	cis
ACSS2	0.903	trans-intra
ACSS3	0.951	cis_inter_intra
ACTA2	0.364	cis
ACTG1	0.858	cis
ACTN1	0.213	cis_intra
ACTN2	0.239	trans-intra
ACTN4	0.099	cis_inter_intra
ACTR10	0.658	cis
ACTR1A	0.327	cis
ACTR1B	0.684	cis
ACTR3	0.118	cis_intra
ACTR3B	0.192	cis
ACTR3C	1.374	cis
ACTR5	1.006	cis_intra
ACTR6	1.083	cis_intra
ACTR8	0.988	cis_intra
ACTRT3	1.71	cis
ACVR1	0.454	trans-intra
ACVR1B	0.172	trans-intra
ACVR1C	0.634	cis_intra
ACVR2A	0.17	cis_intra
ACVR2B	0.377	cis
ACY3	1.426	cis
ACYP2	1.836	cis_inter_intra
ADA	1.321	cis
ADAL	1.174	cis
ADAM10	0.117	cis_inter_intra
ADAM11	0.531	cis
ADAM12	0.594	cis_inter_intra
ADAM15	0.864	cis
ADAM17	0.28	trans-intra
ADAM19	0.501	cis_inter_intra
ADAM22	0.363	cis_inter_intra
ADAM23	0.275	cis_inter_intra
ADAM28	1.162	cis
ADAM33	0.922	cis
ADAM8	0.926	cis
ADAM9	0.417	cis_intra
ADAMDEC1	1.288	cis
ADAMTS1	0.367	cis
ADAMTS10	0.33	cis
ADAMTS13	0.683	cis
ADAMTS14	0.709	cis_intra
ADAMTS17	0.732	cis_inter_intra
ADAMTS2	0.311	cis_inter_intra
ADAMTS3	0.604	cis_inter_intra
ADAMTS6	0.22	cis_inter_intra
ADAMTS7	0.646	cis
ADAMTSL2	0.735	cis_intra
ADAMTSL4	1.093	cis
ADAMTSL4-AS1	NA	cis_inter
ADAMTSL5	1.151	cis_intra
ADAP1	0.439	cis
ADAR	0.42	cis_inter
ADARB1	0.399	cis_inter_intra
ADARB2	0.382	cis_inter_intra
ADAT1	1.187	cis
ADAT2	1.57	cis_intra
ADCK1	1.283	cis_intra
ADCK2	0.92	cis
ADCK5	0.588	cis_intra
ADCY10	1.034	trans-intra
ADCY5	0.254	trans-intra
ADCY7	0.552	cis_intra
ADCY9	0.306	cis_inter_intra
ADD1	0.296	cis_inter
ADD2	0.274	cis_intra
ADD3	0.246	cis_inter_intra
ADH4	1.27	trans-intra
ADH5	1.562	cis
ADHFE1	1.045	cis
ADIPOR1	0.469	cis
ADIPOR2	0.518	cis_inter_intra
ADK	0.798	cis_inter_intra
ADM2	1.483	trans-intra
ADNP	0.123	trans-intra
ADO	0.81	cis
ADORA1	1.1	cis_intra
ADORA2A	0.551	cis_intra
ADORA2B	1.485	cis_intra
ADORA3	1.066	cis
ADPGK	0.715	cis_inter_intra
ADPRH	1.283	cis_inter
ADPRHL1	1.374	trans-inter
ADPRM	1.107	cis
ADRB1	1.542	cis
ADRB2	0.591	cis
ADSL	1.071	cis
ADSS	0.454	cis
ADSSL1	0.843	cis
ADTRP	1.365	cis_inter_intra
AEBP1	0.64	cis
AEBP2	0.145	cis_inter_intra
AEN	1.878	cis
AES	0.361	cis
AFAP1	0.665	cis_inter_intra
AFAP1L1	0.886	trans-intra
AFAP1L2	0.487	cis_intra
AFF1	0.347	cis_inter_intra
AFF2	0.275	cis_inter_intra
AFF3	0.221	cis_inter_intra
AFF4	0.138	cis_intra
AFG3L2	0.7	cis_intra
AFMID	1.099	cis
AFTPH	0.141	cis_intra
AGA	1.044	cis
AGAP1	0.231	cis_inter_intra
AGAP2	0.267	cis
AGAP3	0.335	cis
AGAP6	1.562	cis
AGBL2	0.893	trans-intra
AGER	1.346	cis_intra
AGFG1	0.278	cis_intra
AGGF1	0.583	trans-intra
AGK	0.878	cis_intra
AGL	0.795	cis_intra
AGO1	0.057	trans-intra
AGO2	0.106	inter_intra
AGO3	0.193	trans-intra
AGO4	0.218	trans-intra
AGPAT1	0.307	cis
AGPAT2	1.539	cis
AGPAT3	0.142	cis_inter_intra
AGPAT4	0.534	cis_inter_intra
AGPAT5	0.979	cis_intra
AGPS	0.117	cis_intra
AGRN	0.435	cis
AGTPBP1	0.351	cis_inter_intra
AGTRAP	0.951	cis_intra
AGXT	1.028	trans-inter
AHCTF1	0.129	cis_intra
AHCY	0.616	trans-inter
AHCYL2	0.29	inter_intra
AHI1	0.95	cis_intra
AHNAK	0.308	cis_inter_intra
AHR	0.154	cis_intra
AHRR	0.75	cis_intra
AHSA2	1.642	cis
AICDA	1.329	cis
AIDA	0.88	trans-inter
AIF1	1.619	cis
AIF1L	1.02	cis_inter
AIFM1	0.234	trans-intra
AIFM2	1.083	cis
AIFM3	0.988	cis
AIG1	1.383	cis_inter_intra
AIM1	1.006	cis_inter_intra
AIM1L	0.793	cis
AIM2	1.636	cis_intra
AIMP1	1.216	cis
AIMP2	0.967	cis
AIP	0.518	cis
AK2	1.223	cis_inter_intra
AK3	1.391	cis_intra
AK4	0.788	cis_intra
AK5	0.558	cis_inter_intra
AK8	1.19	cis_inter_intra
AK9	0.738	cis_intra
AKAP1	0.373	cis_inter_intra
AKAP10	0.441	cis_intra
AKAP11	0.3	cis
AKAP12	0.426	cis_inter_intra
AKAP13	0.294	cis_inter_intra
AKAP17A	0.524	cis
AKAP2	0.527	cis_inter_intra
AKAP3	0.528	cis_intra
AKAP7	1.222	cis_intra
AKAP8	0.397	cis
AKAP9	0.404	cis_intra
AKIP1	1.576	cis_intra
AKIRIN1	0.496	cis
AKIRIN2	0.376	trans-intra
AKNA	0.454	cis_inter_intra
AKR1A1	1.121	cis
AKR1B1	0.997	cis
AKR1C1	1.588	cis
AKR1C2	1.46	cis
AKR1E2	1.419	cis_inter
AKR7A2	1.522	cis
AKR7A3	1.928	cis
AKT1	0.315	cis_intra
AKT1S1	0.834	cis
AKT2	0.417	cis
AKT3	0.178	cis_inter_intra
AKTIP	0.504	cis
ALAD	0.868	cis
ALAS1	0.49	trans-inter
ALB	0.387	trans-inter
ALCAM	0.386	cis_inter_intra
ALDH16A1	1.076	cis_intra
ALDH18A1	0.519	cis_intra
ALDH1A1	0.335	cis_inter_intra
ALDH1A2	0.447	cis_inter_intra
ALDH1L1	0.776	cis_intra
ALDH1L2	0.922	cis_inter_intra
ALDH2	1.094	cis_inter_intra
ALDH3A2	0.825	cis_intra
ALDH3B1	0.995	cis
ALDH3B2	1.656	cis
ALDH4A1	0.714	cis_inter
ALDH5A1	0.937	cis_intra
ALDH6A1	0.945	cis
ALDH7A1	1.24	cis_intra
ALDH8A1	1.462	cis_intra
ALDH9A1	1.138	cis_intra
ALDOB	1.1	cis
ALG1	1.499	trans-intra
ALG10B	1.365	cis_intra
ALG12	1.033	cis_inter
ALG13	0.16	trans-intra
ALG14	1.196	cis_intra
ALG1L	1.944	cis
ALG5	0.453	trans-intra
ALG6	0.641	cis_intra
ALG8	0.83	cis_intra
ALG9	0.653	trans-intra
ALKBH1	1.026	cis
ALKBH2	1.198	cis
ALKBH3	1.324	cis_intra
ALKBH4	0.802	cis
ALKBH5	0.343	cis
ALKBH6	0.677	cis
ALKBH7	1.634	cis_inter
ALKBH8	0.666	cis_intra
ALMS1	0.874	cis_inter_intra
ALOX12	1.039	cis
ALOX15	1.338	cis
ALOX15B	1.184	cis
ALOX5	0.636	cis_intra
ALOX5AP	0.963	cis_intra
ALPK1	0.929	cis_intra
ALPK2	0.815	cis_inter_intra
ALPK3	0.911	cis_intra
ALPL	0.693	cis_intra
ALS2	0.516	cis
ALS2CL	1.082	cis
ALS2CR12	1.462	cis_intra
AMACR	0.747	cis
AMBP	1.374	trans-intra
AMBRA1	0.14	inter_intra
AMD1	0.284	trans-intra
AMDHD1	1.166	cis_intra
AMDHD2	0.81	cis_intra
AMFR	0.63	cis_inter_intra
AMH	1.771	cis
AMIGO1	0.238	cis
AMIGO2	0.55	cis
AMMECR1	0.472	trans-intra
AMMECR1L	0.255	cis_intra
AMOT	0.266	cis
AMOTL1	0.471	cis_inter_intra
AMPD2	0.638	cis
AMPD3	0.907	cis_inter_intra
AMPH	0.569	cis_inter_intra
AMT	0.789	cis
AMY2A	1.678	cis
AMY2B	1.723	cis
AMZ2	1.445	cis
ANAPC1	0.305	cis
ANAPC10	1.056	cis_inter_intra
ANAPC11	0.735	cis
ANAPC13	1.858	cis_intra
ANAPC15	0.775	cis
ANAPC2	0.175	cis
ANAPC4	0.461	cis_intra
ANAPC5	0.754	cis_intra
ANG	1.893	cis
ANGEL1	0.777	cis_intra
ANGEL2	0.708	cis_intra
ANGPT1	0.337	cis_inter_intra
ANGPT2	0.377	cis_intra
ANGPTL6	1.193	cis
ANK1	0.169	cis_inter_intra
ANK3	0.089	cis_inter_intra
ANKAR	1.072	inter_intra
ANKDD1A	1.285	cis_intra
ANKDD1B	1.027	cis_intra
ANKEF1	0.936	cis_intra
ANKFY1	0.312	cis_inter_intra
ANKH	0.499	cis_inter_intra
ANKHD1	0.112	trans-intra
ANKIB1	0.207	cis_intra
ANKK1	1.162	cis
ANKLE1	1.437	cis
ANKLE2	0.847	cis_intra
ANKMY1	1.214	cis_inter_intra
ANKMY2	0.924	cis
ANKRA2	1.069	cis
ANKRD1	1.336	trans-intra
ANKRD10	0.616	cis
ANKRD11	0.107	cis_inter_intra
ANKRD12	0.197	cis_inter_intra
ANKRD13A	0.571	cis
ANKRD13C	0.248	cis_inter_intra
ANKRD13D	0.428	cis
ANKRD16	1.385	trans-intra
ANKRD17	0.062	inter_intra
ANKRD22	1.718	cis_inter
ANKRD23	1.878	cis
ANKRD24	0.901	cis_inter_intra
ANKRD26	0.733	cis_intra
ANKRD27	1.105	cis_inter_intra
ANKRD28	0.171	cis_intra
ANKRD33	1.875	cis
ANKRD33B	0.552	cis_intra
ANKRD34A	0.247	cis
ANKRD34B	1.888	cis
ANKRD35	1.081	cis
ANKRD36	1.43	cis
ANKRD40	0.561	cis
ANKRD42	1.229	cis_intra
ANKRD44	0.527	cis_inter_intra
ANKRD50	0.305	cis_intra
ANKRD53	1.365	trans-intra
ANKRD54	0.829	cis
ANKRD55	0.867	cis_inter_intra
ANKRD6	0.908	cis_inter_intra
ANKRD61	1.146	trans-intra
ANKRD9	1.194	cis
ANKS1A	0.338	cis_inter_intra
ANKS3	0.726	cis_inter
ANKS6	0.694	cis_inter_intra
ANLN	0.374	trans-intra
ANO10	1.129	cis_inter_intra
ANO5	0.949	cis_intra
ANO6	1.141	inter_intra
ANO7	1.371	cis
ANO8	0.317	cis_intra
ANO9	0.911	cis
ANP32A	0.218	cis
ANP32B	0.331	cis
ANPEP	0.638	cis
ANTXR1	0.3	trans-intra
ANTXR2	0.503	inter_intra
ANTXRL	0.93	cis_inter_intra
ANXA1	1.03	cis_intra
ANXA11	0.98	cis_intra
ANXA2	0.808	cis_intra
ANXA2R	NA	cis
ANXA3	1.264	cis_intra
ANXA4	1.016	cis_inter_intra
ANXA5	1.446	cis
ANXA6	0.714	cis
ANXA7	0.936	trans-intra
AOAH	0.951	cis_inter_intra
AOC1	0.969	cis
AOC2	1.255	cis
AOX1	0.936	cis_inter_intra
AP003068.23	1.953	cis
AP003774.4	1.725	cis
AP006621.5	NA	cis
AP1AR	0.559	cis_intra
